Input	Output
walk twice after boch around right thrice	I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_BOCH I_WALK I_WALK
jduf around right and turn opposite right	I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_TURN_RIGHT
diag opposite left twice and wdqg right	I_TURN_LEFT I_TURN_LEFT I_DIAG I_TURN_LEFT I_TURN_LEFT I_DIAG I_TURN_RIGHT I_WDQG
abiu opposite left twice and asap left thrice	I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP
turn opposite right twice after turn right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around left and xkhp opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_XKHP
kbcp left thrice and turn opposite right	I_TURN_LEFT I_KBCP I_TURN_LEFT I_KBCP I_TURN_LEFT I_KBCP I_TURN_RIGHT I_TURN_RIGHT
tpdt after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TPDT
tftq around left thrice and turn around left twice	I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
asap around left thrice and turn right	I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_RIGHT
vzoe left thrice after vzoe left thrice	I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE
qnsr right after qnsr opposite left	I_TURN_LEFT I_TURN_LEFT I_QNSR I_TURN_RIGHT I_QNSR
tece opposite right after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TECE
fdjx opposite left twice and fdjx opposite left	I_TURN_LEFT I_TURN_LEFT I_FDJX I_TURN_LEFT I_TURN_LEFT I_FDJX I_TURN_LEFT I_TURN_LEFT I_FDJX
qqiu around left thrice after txpe around right twice	I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU
gmha right after gmha left twice	I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_RIGHT I_GMHA
run opposite left twice after abiu opposite right	I_TURN_RIGHT I_TURN_RIGHT I_ABIU I_TURN_LEFT I_TURN_LEFT I_RUN I_TURN_LEFT I_TURN_LEFT I_RUN
run right twice and abiu right thrice	I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU
oymp opposite left thrice after asmf around right	I_TURN_RIGHT I_ASMF I_TURN_RIGHT I_ASMF I_TURN_RIGHT I_ASMF I_TURN_RIGHT I_ASMF I_TURN_LEFT I_TURN_LEFT I_OYMP I_TURN_LEFT I_TURN_LEFT I_OYMP I_TURN_LEFT I_TURN_LEFT I_OYMP
vosv opposite left after vosv opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_TURN_RIGHT I_VOSV I_TURN_LEFT I_TURN_LEFT I_VOSV
kvur left twice after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR
wdqg opposite left after qnsr right twice	I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_LEFT I_TURN_LEFT I_WDQG
dpan opposite left after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_DPAN
boch opposite right thrice after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_TURN_RIGHT I_BOCH I_TURN_RIGHT I_TURN_RIGHT I_BOCH
ufnu opposite right twice and turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
wjdv opposite left twice after wjdv left thrice	I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_TURN_LEFT I_WJDV I_TURN_LEFT I_TURN_LEFT I_WJDV
turn around right after jjep opposite left twice	I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
cgbo left twice and zsvr opposite right twice	I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_RIGHT I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_TURN_RIGHT I_ZSVR
gjtz opposite left twice and tece around right	I_TURN_LEFT I_TURN_LEFT I_GJTZ I_TURN_LEFT I_TURN_LEFT I_GJTZ I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE I_TURN_RIGHT I_TECE
cufv thrice after vbcx opposite right	I_TURN_RIGHT I_TURN_RIGHT I_VBCX I_CUFV I_CUFV I_CUFV
wpkt around left twice and qlcv left twice	I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV
pzur right thrice after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR
uajp left after eguy twice	I_EGUY I_EGUY I_TURN_LEFT I_UAJP
vzoe right and vzoe around right	I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE
mgai opposite right and rjxc around right	I_TURN_RIGHT I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC
iugo right after nvnj around left	I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_RIGHT I_IUGO
tece opposite left thrice and turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TECE I_TURN_LEFT I_TURN_LEFT I_TECE I_TURN_LEFT I_TURN_LEFT I_TECE I_TURN_LEFT I_TURN_LEFT
nvnj around left thrice after vgha opposite left	I_TURN_LEFT I_TURN_LEFT I_VGHA I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
turn left after wdqg right thrice	I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_WDQG I_TURN_LEFT
mckn around left thrice after mckn twice	I_MCKN I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN
turn opposite left after gyjs opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_RIGHT I_TURN_RIGHT I_GYJS I_TURN_LEFT I_TURN_LEFT
ulus around left and turn opposite right thrice	I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_LEFT I_ULUS I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite right twice after qlcv opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
wdqg twice after turn left twice	I_TURN_LEFT I_TURN_LEFT I_WDQG I_WDQG
dpnk left twice and yqvi thrice	I_TURN_LEFT I_DPNK I_TURN_LEFT I_DPNK I_YQVI I_YQVI I_YQVI
jmbc opposite left and jpxb around right thrice	I_TURN_LEFT I_TURN_LEFT I_JMBC I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB I_TURN_RIGHT I_JPXB
turn opposite right twice and rjxc opposite left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_RJXC I_TURN_LEFT I_TURN_LEFT I_RJXC I_TURN_LEFT I_TURN_LEFT I_RJXC
turn opposite right and fcbf opposite left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_FCBF
imql left twice and imql	I_TURN_LEFT I_IMQL I_TURN_LEFT I_IMQL I_IMQL
look opposite left and look around right thrice	I_TURN_LEFT I_TURN_LEFT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK I_TURN_RIGHT I_LOOK
yjft opposite right thrice and turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_YJFT I_TURN_RIGHT I_TURN_RIGHT I_YJFT I_TURN_RIGHT I_TURN_RIGHT I_YJFT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
txpe around right twice after txpe opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TXPE
xlie opposite right and dpan around right twice	I_TURN_RIGHT I_TURN_RIGHT I_XLIE I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN
turn opposite left thrice after rksp opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_TURN_RIGHT I_RKSP I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
diag opposite right and diag right twice	I_TURN_RIGHT I_TURN_RIGHT I_DIAG I_TURN_RIGHT I_DIAG I_TURN_RIGHT I_DIAG
eegp and iugo right	I_EEGP I_TURN_RIGHT I_IUGO
zhkg around right twice after zhkg around right thrice	I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG
turn opposite left thrice and eegp around right twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP
turn left and wdqg thrice	I_TURN_LEFT I_WDQG I_WDQG I_WDQG
iugo right thrice and turn around left twice	I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
wdqg opposite left and wdqg right twice	I_TURN_LEFT I_TURN_LEFT I_WDQG I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_WDQG
ciwt around left thrice and ciwt around left thrice	I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT I_TURN_LEFT I_CIWT
ohlm around right twice after ohlm opposite left	I_TURN_LEFT I_TURN_LEFT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM
turn left and vosv around right	I_TURN_LEFT I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV I_TURN_RIGHT I_VOSV
tyuv right twice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV
volb opposite right and turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_TURN_RIGHT
coaf around right thrice and coaf around left thrice	I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF
pzur left after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_PZUR
turn around left twice and lfka opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_LFKA
turn opposite right after imql opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_IMQL I_TURN_LEFT I_TURN_LEFT I_IMQL I_TURN_LEFT I_TURN_LEFT I_IMQL I_TURN_RIGHT I_TURN_RIGHT
coaf around right thrice after coaf opposite left	I_TURN_LEFT I_TURN_LEFT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF
wjdv left thrice and turn left twice	I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_TURN_LEFT
turn around left after rqli thrice	I_RQLI I_RQLI I_RQLI I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
eegp after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_EEGP
wdqg left thrice and wdqg left	I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG
pzur right thrice and jpxb opposite left	I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR I_TURN_LEFT I_TURN_LEFT I_JPXB
turn left thrice and fcbf around right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF
jjep around right twice after reqk around left twice	I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_JJEP
wdqg opposite left twice after wdqg opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_WDQG I_TURN_RIGHT I_TURN_RIGHT I_WDQG I_TURN_LEFT I_TURN_LEFT I_WDQG I_TURN_LEFT I_TURN_LEFT I_WDQG
eegp around right twice after eegp around right thrice	I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP I_TURN_RIGHT I_EEGP
asap opposite left thrice and turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite left after jjep opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_LEFT I_TURN_LEFT I_JJEP I_TURN_LEFT I_TURN_LEFT
eegp left twice after iugo opposite left	I_TURN_LEFT I_TURN_LEFT I_IUGO I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP
vzoe right thrice after turn left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE
diag twice and diag around left	I_DIAG I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG
oymp left twice after asmf thrice	I_ASMF I_ASMF I_ASMF I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP
turn around right after vbcx around right twice	I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_VBCX I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
qqiu opposite right and qqiu right thrice	I_TURN_RIGHT I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU
lwmo around left and rjxc right twice	I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC
run around right after run opposite left	I_TURN_LEFT I_TURN_LEFT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN
icho	I_ICHO
mgai right after rjxc right	I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_MGAI
xlgm left twice after xlgm	I_XLGM I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM
vzoe opposite left twice and vzoe around left twice	I_TURN_LEFT I_TURN_LEFT I_VZOE I_TURN_LEFT I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE
turn opposite left and zwjm left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM I_TURN_LEFT I_ZWJM
mlle left twice and mlle left thrice	I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE
turn right twice after kvur opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_KVUR I_TURN_LEFT I_TURN_LEFT I_KVUR I_TURN_LEFT I_TURN_LEFT I_KVUR I_TURN_RIGHT I_TURN_RIGHT
byrr opposite right twice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_BYRR I_TURN_RIGHT I_TURN_RIGHT I_BYRR
qlcv thrice after qlcv around left twice	I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV I_QLCV I_QLCV I_QLCV
jmbc opposite left after jpxb around left twice	I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_TURN_LEFT I_JMBC
run left thrice and abiu right thrice	I_TURN_LEFT I_RUN I_TURN_LEFT I_RUN I_TURN_LEFT I_RUN I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU
turn left twice after garz right twice	I_TURN_RIGHT I_GARZ I_TURN_RIGHT I_GARZ I_TURN_LEFT I_TURN_LEFT
turn around right twice after ufnu opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_UFNU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
tyuv around right twice and tyuv opposite right	I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TURN_RIGHT I_TYUV
